59 3 3 1 1 4 
18 0 17 17 1 13 15
42 17 14 14 1 13 13
56 17 14 14 0 13 14
220 31 11 14 0 13 11
253 17 13 14 1 13 12
416 0 17 14 0 13 16
266 17 13 14 1 13 12
207 45 11 11 1 10 9
231 31 11 14 1 13 9
410 45 9 11 0 10 9
479 45 7 11 0 10 6
23 45 11 13 1 10 9
218 45 11 11 1 10 9
124 45 13 11 1 10 11
419 45 9 11 1 10 7
428 45 9 11 0 10 9
426 31 9 14 0 13 9
464 45 8 11 0 10 7
229 45 11 11 1 10 9
240 45 11 11 0 10 11
437 45 9 11 0 10 9
251 45 11 11 1 10 9
446 45 9 11 0 10 9
342 31 10 14 0 10 9
332 45 10 11 1 10 8
342 45 10 11 1 10 7
352 31 10 14 1 10 8
35 0 15 17 1 13 13
352 45 10 11 1 10 8
362 31 10 14 0 10 9
362 45 10 11 1 10 8
110 45 14 11 0 10 13
70 17 14 14 0 10 13
150 45 12 11 1 10 10
162 45 12 11 0 10 12
455 45 9 11 0 10 8
372 45 10 11 1 10 8
137 45 13 11 0 10 12
382 45 10 11 1 10 9
